Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Potato,Desi,FAQ,780,870,825,30-Mar-22
2,Agra,Achnera,Potato,Desi,FAQ,800,880,840,29-Mar-22
3,Agra,Achnera,Potato,Desi,FAQ,830,930,880,28-Mar-22
4,Agra,Achnera,Potato,Desi,FAQ,820,920,870,27-Mar-22
5,Agra,Achnera,Potato,Desi,FAQ,860,940,900,26-Mar-22
6,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,25-Mar-22
7,Agra,Achnera,Potato,Desi,FAQ,910,990,950,23-Mar-22
8,Agra,Achnera,Potato,Desi,FAQ,900,980,940,22-Mar-22
9,Agra,Achnera,Potato,Desi,FAQ,930,1030,980,21-Mar-22
10,Agra,Achnera,Potato,Desi,FAQ,970,1030,1000,20-Mar-22
11,Agra,Achnera,Potato,Desi,FAQ,1000,1080,1040,19-Mar-22
12,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,16-Mar-22
13,Agra,Achnera,Potato,Desi,FAQ,920,980,950,15-Mar-22
14,Agra,Achnera,Potato,Desi,FAQ,870,950,910,14-Mar-22
15,Agra,Achnera,Potato,Desi,FAQ,870,970,920,13-Mar-22
16,Agra,Achnera,Potato,Desi,FAQ,860,940,900,12-Mar-22
17,Agra,Achnera,Potato,Desi,FAQ,870,950,910,11-Mar-22
18,Agra,Achnera,Potato,Desi,FAQ,820,920,870,09-Mar-22
19,Agra,Achnera,Potato,Desi,FAQ,820,920,870,08-Mar-22
20,Agra,Achnera,Potato,Desi,FAQ,790,890,840,07-Mar-22
21,Agra,Achnera,Potato,Desi,FAQ,800,880,840,06-Mar-22
22,Agra,Achnera,Potato,Desi,FAQ,800,890,845,05-Mar-22
23,Agra,Achnera,Potato,Desi,FAQ,800,860,830,04-Mar-22
24,Agra,Achnera,Potato,Desi,FAQ,770,870,820,02-Mar-22
